city_id,name,state,latitude,longitude
1,New York,New York,40.6943,-73.9249
2,Los Angeles,California,34.1139,-118.4068
3,Chicago,Illinois,41.8373,-87.6862
4,Miami,Florida,25.7839,-80.2102
5,Dallas,Texas,32.7936,-96.7662
6,Philadelphia,Pennsylvania,40.0077,-75.1339
7,Houston,Texas,29.7863,-95.3889
8,Atlanta,Georgia,33.7627,-84.4224
9,Washington,District of Columbia,38.9047,-77.0163
10,Boston,Massachusetts,42.3188,-71.0846
11,Phoenix,Arizona,33.5722,-112.0891
12,Seattle,Washington,47.6211,-122.3244
13,San Francisco,California,37.7562,-122.4430
14,Detroit,Michigan,42.3834,-83.1024
15,San Diego,California,32.8312,-117.1225
16,Minneapolis,Minnesota,44.9635,-93.2678
17,Tampa,Florida,27.9942,-82.4451
18,Denver,Colorado,39.7621,-104.8759
19,Brooklyn,New York,40.6501,-73.9496
20,Queens,New York,40.7498,-73.7976
21,Riverside,California,33.9381,-117.3948
22,Baltimore,Maryland,39.3051,-76.6144
23,Las Vegas,Nevada,36.2333,-115.2654
24,Portland,Oregon,45.5372,-122.6500
25,San Antonio,Texas,29.4658,-98.5253
26,St. Louis,Missouri,38.6358,-90.2451
27,Sacramento,California,38.5667,-121.4683
28,Orlando,Florida,28.4772,-81.3369
29,San Jose,California,37.3019,-121.8486
30,Cleveland,Ohio,41.4767,-81.6804
31,Pittsburgh,Pennsylvania,40.4396,-79.9762
32,Austin,Texas,30.3004,-97.7522
33,Cincinnati,Ohio,39.1413,-84.5061
34,Kansas City,Missouri,39.1239,-94.5541
35,Manhattan,New York,40.7834,-73.9662
36,Indianapolis,Indiana,39.7771,-86.1458
37,Columbus,Ohio,39.9862,-82.9850
38,Charlotte,North Carolina,35.2080,-80.8304
39,Virginia Beach,Virginia,36.7335,-76.0435
40,Bronx,New York,40.8501,-73.8662
41,Milwaukee,Wisconsin,43.0642,-87.9673
42,Providence,Rhode Island,41.8230,-71.4187
43,Jacksonville,Florida,30.3322,-81.6749
44,Salt Lake City,Utah,40.7777,-111.9306
45,Nashville,Tennessee,36.1715,-86.7843
46,Richmond,Virginia,37.5295,-77.4756
47,Memphis,Tennessee,35.1046,-89.9773
48,Raleigh,North Carolina,35.8325,-78.6435
49,New Orleans,Louisiana,30.0687,-89.9288
50,Louisville,Kentucky,38.1663,-85.6485
51,Oklahoma City,Oklahoma,35.4676,-97.5136
52,Bridgeport,Connecticut,41.1918,-73.1953
53,Buffalo,New York,42.9016,-78.8487
54,Fort Worth,Texas,32.7811,-97.3473
55,Hartford,Connecticut,41.7661,-72.6834
56,Tucson,Arizona,32.1545,-110.8782
57,Omaha,Nebraska,41.2627,-96.0522
58,El Paso,Texas,31.8479,-106.4309
59,Honolulu,Hawaii,21.3294,-157.8460
60,McAllen,Texas,26.2273,-98.2471
61,Albuquerque,New Mexico,35.1053,-106.6464
62,Birmingham,Alabama,33.5277,-86.7987
63,Sarasota,Florida,27.3386,-82.5431
64,Dayton,Ohio,39.7797,-84.1998
65,Rochester,New York,43.1680,-77.6162
66,Fresno,California,36.7831,-119.7941
67,Allentown,Pennsylvania,40.5961,-75.4756
68,Tulsa,Oklahoma,36.1284,-95.9042
69,Cape Coral,Florida,26.6446,-81.9956
70,Concord,California,37.9722,-122.0016
71,Colorado Springs,Colorado,38.8674,-104.7606
72,Charleston,South Carolina,32.8153,-79.9628
73,Springfield,Massachusetts,42.1155,-72.5395
